Jahr;Dokumentnr;Name;Partei;Thema;Titel
2012;17/203;Michael Frieser;CDU/CSU;Flüchtlingspolitik;Haltung der Bundesregierung zu Residenzpflicht und Sondergesetzen für Flüchtlinge sowie Asylbewerberinnen und Asylbewerber
2012;17/203;Reinhard Grindel;CDU/CSU;Flüchtlingspolitik;Haltung der Bundesregierung zu Residenzpflicht und Sondergesetzen für Flüchtlinge sowie Asylbewerberinnen und Asylbewerber
2012;17/214;Wolfgang Gehrcke;DIE LINKE;Flüchtlingspolitik;Sofortige humanitäre Hilfe für Syrien leisten - Diplomatische Verhandlungslösung für den Konflikt fördern
2012;17/214;Joachim Hörster;CDU/CSU;Flüchtlingspolitik;Sofortige humanitäre Hilfe für Syrien leisten - Diplomatische Verhandlungslösung für den Konflikt fördern
2012;17/214;Dr. Wolfgang Götzer;CDU/CSU;Flüchtlingspolitik;Sofortige humanitäre Hilfe für Syrien leisten - Diplomatische Verhandlungslösung für den Konflikt fördern
2012;17/201;Paul Lehrieder;CDU/CSU;Rentenpolitik;Gesetz zur Festsetzung der Beitragssätze in der gesetzlichen Rentenversicherung für das Jahr 2013 (Beitragssatzgesetz 2013)
2012;17/201;Peter Weiß;CDU/CSU;Rentenpolitik;Gesetz zur Festsetzung der Beitragssätze in der gesetzlichen Rentenversicherung für das Jahr 2013 (Beitragssatzgesetz 2013)
2012;17/201;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Gesetz zur Festsetzung der Beitragssätze in der gesetzlichen Rentenversicherung für das Jahr 2013 (Beitragssatzgesetz 2013)
2012;17/199;Bettina Kudla;CDU/CSU;Rentenpolitik;Gesetz zur Verbesserung der steuerlichen Förderung der privaten Altersvorsorge (Altersvorsorge-Verbesserungsgesetz - AltvVerbG)
2012;17/199;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Gesetz zur Verbesserung der steuerlichen Förderung der privaten Altersvorsorge (Altersvorsorge-Verbesserungsgesetz - AltvVerbG)
2012;17/199;Klaus-Peter Flosbach;CDU/CSU;Rentenpolitik;Gesetz zur Verbesserung der steuerlichen Förderung der privaten Altersvorsorge (Altersvorsorge-Verbesserungsgesetz - AltvVerbG)
2012;17/198;Max Straubinger;CDU/CSU;Rentenpolitik;Wiederherstellung eines Lebensstandard sichernden und strukturell armutsfesten Rentenniveaus
2012;17/198;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Wiederherstellung eines Lebensstandard sichernden und strukturell armutsfesten Rentenniveaus
2012;17/198;Ralph Lenkert;DIE LINKE;Rentenpolitik;Wiederherstellung eines Lebensstandard sichernden und strukturell armutsfesten Rentenniveaus
2012;17/198;Peter Weiß;CDU/CSU;Rentenpolitik;Wiederherstellung eines Lebensstandard sichernden und strukturell armutsfesten Rentenniveaus
2012;17/195;Klaus Ernst;DIE LINKE;Rentenpolitik;Gesetz zur Festsetzung der Beitragssätze in der gesetzlichen Rentenversicherung für das Jahr 2013 (Beitragssatzgesetz 2013)
2012;17/195;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Gesetz zur Festsetzung der Beitragssätze in der gesetzlichen Rentenversicherung für das Jahr 2013 (Beitragssatzgesetz 2013)
2012;17/195;Max Straubinger;CDU/CSU;Rentenpolitik;Gesetz zur Festsetzung der Beitragssätze in der gesetzlichen Rentenversicherung für das Jahr 2013 (Beitragssatzgesetz 2013)
2012;17/162;Paul Lehrieder;CDU/CSU;Rentenpolitik;Den demographischen Wandel bei den Aufwendungen für Leistungen zur Teilhabe in der gesetzlichen Rentenversicherung besser berücksichtigen
2012;17/162;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Den demographischen Wandel bei den Aufwendungen für Leistungen zur Teilhabe in der gesetzlichen Rentenversicherung besser berücksichtigen
2012;17/162;Peter Weiß;CDU/CSU;Rentenpolitik;Den demographischen Wandel bei den Aufwendungen für Leistungen zur Teilhabe in der gesetzlichen Rentenversicherung besser berücksichtigen
2012;17/162;Max Straubinger;CDU/CSU;Rentenpolitik;Rentenversicherung stärken und solidarisch ausbauen - Solidarische Mindestrente einführen
2012;17/162;Heike Brehmer;CDU/CSU;Rentenpolitik;Rentenversicherung stärken und solidarisch ausbauen - Solidarische Mindestrente einführen
2012;17/162;Heidrun Dittrich;DIE LINKE;Rentenpolitik;Rentenversicherung stärken und solidarisch ausbauen - Solidarische Mindestrente einführen
2012;17/162;Dr. Johann Wadephul;CDU/CSU;Rentenpolitik;Rentenversicherung stärken und solidarisch ausbauen - Solidarische Mindestrente einführen
2012;17/162;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Rentenversicherung stärken und solidarisch ausbauen - Solidarische Mindestrente einführen
2012;17/162;Peter Weiß;CDU/CSU;Rentenpolitik;Rentenversicherung stärken und solidarisch ausbauen - Solidarische Mindestrente einführen
2012;17/162;Dr. Martina Bunge;DIE LINKE;Rentenpolitik;Rentenversicherung stärken und solidarisch ausbauen - Solidarische Mindestrente einführen
2012;17/162;Karl Schiewerling;CDU/CSU;Rentenpolitik;Rentenversicherung stärken und solidarisch ausbauen - Solidarische Mindestrente einführen
2012;17/202;Cornelia Möhring;DIE LINKE;Arbeitsmarktpolitik;Gesetzes zur Förderung gleichberechtigter Teilhabe von Frauen und Männern in Führungsgremien
2012;17/202;Yvonne Ploetz;DIE LINKE;Arbeitsmarktpolitik;Gesetzes zur Förderung gleichberechtigter Teilhabe von Frauen und Männern in Führungsgremien
2012;17/202;Dr. Stephan Harbarth;CDU/CSU;Arbeitsmarktpolitik;Gesetzes zur Förderung gleichberechtigter Teilhabe von Frauen und Männern in Führungsgremien
2012;17/202;Elisabeth Winkelmeier-Becker;CDU/CSU;Arbeitsmarktpolitik;Gesetzes zur Förderung gleichberechtigter Teilhabe von Frauen und Männern in Führungsgremien
2012;17/202;Dr. Carsten Linnemann;CDU/CSU;Arbeitsmarktpolitik;Gesetzes zur Förderung gleichberechtigter Teilhabe von Frauen und Männern in Führungsgremien
2012;17/202;Ernst Hinsken;CDU/CSU;Arbeitsmarktpolitik;Gesetzes zur Förderung gleichberechtigter Teilhabe von Frauen und Männern in Führungsgremien
2012;17/202;Volker Kauder;CDU/CSU;Arbeitsmarktpolitik;Gesetzes zur Förderung gleichberechtigter Teilhabe von Frauen und Männern in Führungsgremien
2012;17/187;Dr.Ilja Seifert;DIE LINKE;Arbeitsmarktpolitik;Ausgleichsabgabe erhöhen und Menschen mit Behinderung fairen Zugang zum Arbeitsmarkt ermöglichen
2012;17/187;Maria Michalk;CDU/CSU;Arbeitsmarktpolitik;Ausgleichsabgabe erhöhen und Menschen mit Behinderung fairen Zugang zum Arbeitsmarkt ermöglichen
2012;17/187;Paul Lehrieder;CDU/CSU;Arbeitsmarktpolitik;Ausgleichsabgabe erhöhen und Menschen mit Behinderung fairen Zugang zum Arbeitsmarkt ermöglichen
2012;17/205;Dr. Matthias Zimmer;CDU/CSU;Arbeitsmarktpolitik;Gesetz zur Einrichtung eines Sozialen Arbeitsmarktes
2012;17/205;Jutta Krellmann;DIE LINKE;Arbeitsmarktpolitik;Gesetz zur Einrichtung eines Sozialen Arbeitsmarktes
2012;17/187;Jutta Krellmann;DIE LINKE;Arbeitsmarktpolitik;Statistische Ermittlung des Einsatzes von Werkverträgen und Leiharbeit in Unternehmen
2012;17/187;Ulrich Lange;CDU/CSU;Arbeitsmarktpolitik;Statistische Ermittlung des Einsatzes von Werkverträgen und Leiharbeit in Unternehmen
2012;17/187;Peter Weiß;CDU/CSU;Arbeitsmarktpolitik;Statistische Ermittlung des Einsatzes von Werkverträgen und Leiharbeit in Unternehmen
2012;17/187;Sabine Zimmermann;DIE LINKE;Arbeitsmarktpolitik;Statistische Ermittlung des Einsatzes von Werkverträgen und Leiharbeit in Unternehmen
2012;17/187;Dieter Jasper;CDU/CSU;Arbeitsmarktpolitik;Statistische Ermittlung des Einsatzes von Werkverträgen und Leiharbeit in Unternehmen
2013;17/231;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Syrische Flüchtlinge schützen
2013;17/231;Reinhard Grindel;CDU/CSU;Flüchtlingspolitik;Syrische Flüchtlinge schützen
2013;17/238;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Die Menschenwürde von Flüchtlingen ist migrationspolitisch nicht relativierbar - Konsequenzen aus dem Urteil des Bundesverfassungsgerichts zum Asylbewerberleistungsgesetz ziehen
2013;17/238;Michael Frieser;CDU/CSU;Flüchtlingspolitik;Die Menschenwürde von Flüchtlingen ist migrationspolitisch nicht relativierbar - Konsequenzen aus dem Urteil des Bundesverfassungsgerichts zum Asylbewerberleistungsgesetz ziehen
2013;17/251;Arnold Vaatz;CDU/CSU;Rentenpolitik;Vertrauensschutz bei Rentenleistungen für alle aus der DDR Geflüchteten, Abgeschobenen und Ausgereisten gewähren
2013;17/251;Max Straubinger;CDU/CSU;Rentenpolitik;Vertrauensschutz bei Rentenleistungen für alle aus der DDR Geflüchteten, Abgeschobenen und Ausgereisten gewähren
2013;17/251;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Vertrauensschutz bei Rentenleistungen für alle aus der DDR Geflüchteten, Abgeschobenen und Ausgereisten gewähren
2013;17/251;Peter Weiß;CDU/CSU;Rentenpolitik;Vertrauensschutz bei Rentenleistungen für alle aus der DDR Geflüchteten, Abgeschobenen und Ausgereisten gewähren
2013;17/251;Dr. Martina Bunge;DIE LINKE;Rentenpolitik;Vertrauensschutz bei Rentenleistungen für alle aus der DDR Geflüchteten, Abgeschobenen und Ausgereisten gewähren
2013;17/251;Maria Michalk;CDU/CSU;Rentenpolitik;Vertrauensschutz bei Rentenleistungen für alle aus der DDR Geflüchteten, Abgeschobenen und Ausgereisten gewähren
2013;17/251;Dr. Gregor Gysi;DIE LINKE;Rentenpolitik;Vertrauensschutz bei Rentenleistungen für alle aus der DDR Geflüchteten, Abgeschobenen und Ausgereisten gewähren
2013;17/250;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Den demographischen Wandel bei den Aufwendungen für Leistungen zur Teilhabe in der gesetzliche Rentenversicherung besser berücksichtige
2013;17/250;Peter Weiß;CDU/CSU;Rentenpolitik;Den demographischen Wandel bei den Aufwendungen für Leistungen zur Teilhabe in der gesetzliche Rentenversicherung besser berücksichtige
2013;17/250;Max Straubinger;CDU/CSU;Rentenpolitik;Den demographischen Wandel bei den Aufwendungen für Leistungen zur Teilhabe in der gesetzliche Rentenversicherung besser berücksichtige
2013;17/246;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Rentenversicherung stärken und solidarisch ausbauen - Solidarische Mindestrente einführen
2013;17/246;Peter Weiß;CDU/CSU;Rentenpolitik;Rentenversicherung stärken und solidarisch ausbauen - Solidarische Mindestrente einführen
2013;17/246;Max Straubinger;CDU/CSU;Rentenpolitik;Rentenversicherung stärken und solidarisch ausbauen - Solidarische Mindestrente einführen
2013;17/243;Max Straubinger;CDU/CSU;Rentenpolitik;Altersarmut bekämpfen - Mit der Garantierente
2013;17/243;Frank Heinrich;CDU/CSU;Rentenpolitik;Altersarmut bekämpfen - Mit der Garantierente
2013;17/243;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Altersarmut bekämpfen - Mit der Garantierente
2013;17/243;Peter Weiß;CDU/CSU;Rentenpolitik;Altersarmut bekämpfen - Mit der Garantierente
2013;17/226;Bettina Kudla;CDU/CSU;Rentenpolitik;Riester-Förderung in die gesetzliche Rente überführen
2013;17/226;Max Straubinger;CDU/CSU;Rentenpolitik;Riester-Förderung in die gesetzliche Rente überführen
2013;17/226;Dr. Barbara Höll;DIE LINKE;Rentenpolitik;Riester-Förderung in die gesetzliche Rente überführen
2013;17/226;Peter Weiß;CDU/CSU;Rentenpolitik;Riester-Förderung in die gesetzliche Rente überführen
2013;17/226;Dr. Gregor Gysi;DIE LINKE;Rentenpolitik;Riester-Förderung in die gesetzliche Rente überführen
2013;17/226;Karl Schiewerling;CDU/CSU;Rentenpolitik;Riester-Förderung in die gesetzliche Rente überführen
2013;17/226;Dr. Ilja Seifert;DIE LINKE;Rentenpolitik;Riester-Förderung in die gesetzliche Rente überführen
2013;17/226;Klaus Ernst;DIE LINKE;Rentenpolitik;Riester-Förderung in die gesetzliche Rente überführen
2013;17/226;Diana Golze;DIE LINKE;Rentenpolitik;Riester-Förderung in die gesetzliche Rente überführen
2013;17/226;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Riester-Förderung in die gesetzliche Rente überführen
2013;17/246;Sabine Zimmermann;DIE LINKE;Arbeitsmarktpolitik;Sozialen Arbeitsmarkt dauerhaft über Passiv-Aktiv-Transfer ermöglichen - Teilhabe für alle durch sozialversicherungspflichtige Beschäftigung im allgemeinen Arbeitsmarkt
2013;17/246;Dr. Matthias Zimmer;CDU/CSU;Arbeitsmarktpolitik;Sozialen Arbeitsmarkt dauerhaft über Passiv-Aktiv-Transfer ermöglichen - Teilhabe für alle durch sozialversicherungspflichtige Beschäftigung im allgemeinen Arbeitsmarkt
2013;17/237;Sabine Zimmermann;DIE LINKE;Arbeitsmarktpolitik;Erosion der Tarifvertragssysteme stoppen - Sicherung der Allgemeinverbindlichkeitsregelung von Tarifverträgen
2013;17/237;Peter Weiß;CDU/CSU;Arbeitsmarktpolitik;Erosion der Tarifvertragssysteme stoppen - Sicherung der Allgemeinverbindlichkeitsregelung von Tarifverträgen
2013;17/237;Paul Lehrieder;CDU/CSU;Arbeitsmarktpolitik;Erosion der Tarifvertragssysteme stoppen - Sicherung der Allgemeinverbindlichkeitsregelung von Tarifverträgen
2013;17/237;Klaus Ernst;DIE LINKE;Arbeitsmarktpolitik;Erosion der Tarifvertragssysteme stoppen - Sicherung der Allgemeinverbindlichkeitsregelung von Tarifverträgen
2013;17/237;Dr. Johann Wadephul;CDU/CSU;Arbeitsmarktpolitik;Erosion der Tarifvertragssysteme stoppen - Sicherung der Allgemeinverbindlichkeitsregelung von Tarifverträgen
2013;17/240;Paul Lehrieder;CDU/CSU;Arbeitsmarktpolitik;Für eine sozio-kulturelle Existenzsicherung ohne Lücken
2013;17/240;Dr. Carsten Linnemann;CDU/CSU;Arbeitsmarktpolitik;Für eine sozio-kulturelle Existenzsicherung ohne Lücken
2013;17/240;Matthias W. Birkwald;DIE LINKE;Arbeitsmarktpolitik;Für eine sozio-kulturelle Existenzsicherung ohne Lücken
2013;17/240;Max Straubinger;CDU/CSU;Arbeitsmarktpolitik;Arbeitsbedingungen von Hausangestellten verbessern
2013;17/240;Dr. Johann Wadephul;CDU/CSU;Arbeitsmarktpolitik;Arbeitsbedingungen von Hausangestellten verbessern
2013;17/240;Klaus Ernst;DIE LINKE;Arbeitsmarktpolitik;Arbeitsbedingungen von Hausangestellten verbessern
2014;18/26;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Kontoeröffnungen für Flüchtlinge ermöglichen
2014;18/26;Andrea Lindholz;CDU/CSU;Flüchtlingspolitik;Kontoeröffnungen für Flüchtlinge ermöglichen
2014;18/26;Olav Gutting;CDU/CSU;Flüchtlingspolitik;Kontoeröffnungen für Flüchtlinge ermöglichen
2014;18/33;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Hilfe für die Flüchtlinge aus Syrien - Unterstützung für die Nachbarstaaten
2014;18/33;Annette Groth;DIE LINKE;Flüchtlingspolitik;Hilfe für die Flüchtlinge aus Syrien - Unterstützung für die Nachbarstaaten
2014;18/33;Philipp Mißfelder;CDU/CSU;Flüchtlingspolitik;Hilfe für die Flüchtlinge aus Syrien - Unterstützung für die Nachbarstaaten
2014;18/33;Andrea Lindholz;CDU/CSU;Flüchtlingspolitik;Hilfe für die Flüchtlinge aus Syrien - Unterstützung für die Nachbarstaaten
