Jahr;Dokumentnr;Name;Partei;Thema;Titel;Text;;;;;;;;
2011;17/149;Stephan Mayer;CDU/CSU;Flüchtlingspolitik;Menschenwürde ist nicht verhandelbar - Bedingungen in griechischen Flüchtlingslagern sofort verbessern;;;;;;;;;
2011;17/90;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Einheitlichen EU-Flüchtlingsschutz garantieren;Frau Präsidentin! Meine Damen und Herren! Jeder, der in diesem Land gegen Neofaschismus, Rassismus und Antisemitismus kämpft, verdient unsere größte Anerkennung. Das muss man zu der gesamten Debatte erst einmal sagen. (Beifall bei der LINKEN) Die Extremismusklausel, die den aktiven Projekten gegen rechts nun abgepresst werden soll, droht jedoch kaputtzumachen, was in jahrelanger Arbeit aufgebaut wurde. Die Regierung will - so hat sie auf eine Anfrage der Linken geantwortet - die Projekte gegen rechts zu -Zitat - „Verantwortung und Sensibilität“ gegen Extremismus erziehen. Wenn jemand sensibilisiert ist, dann sind es diese Projekte gegen rechts, die seit Jahren durchgeführt werden und die garantiert keinen Nachhilfeunterricht von Ihnen brauchen. (Beifall bei der LINKEN) Die Bundesregierung tut so, als seien diese Projekte gegen Rechtsextremismus scharf darauf, mit ausgemachten Verfassungsfeinden zu kungeln. Die Regierung verlangt den Trägern ab, Berichte des Verfassungsschutzes aus Bund und Ländern zu lesen, dazu Referenzen über mögliche Bündnispartner einzuholen sowie Medienberichte und Literatur zu diesem Bereich zu studieren. Den Projekten wird ein Wust von Schnüffeldiensten abverlangt. Wir sind froh, dass es Landesregierungen wie Berlin, Brandenburg und Sachsen-Anhalt gibt, die ganz klar kritisieren, dass diese Vorgehensweise Misstrauenund Verunsicherung sät und dass dadurch der Kampf gegen die Rechtsextremisten sabotiert wird. Man muss wirklich sagen: Die Einzigen, die sich zurzeit darüber freuen, sind die Neonazis selbst. (Beifall bei der LINKEN) Ihnen, liebe Kollegen von der Union und der FDP, wird sicherlich nicht entgangen sein, dass auch der Zentralrat der Juden und der Zentralrat der Muslime die Extremismusklausel ablehnen - wir haben es schon gehört -, weil dadurch couragierte und engagierte Menschen unter Generalverdacht gestellt werden. Ich möchte in diesem Zusammenhang die 1 500 Persönlichkeiten und Organisationen erwähnen, die eine entsprechende Protesterklärung unterzeichnet haben. (Monika Lazar [BÜNDNIS 90/DIE GRÜ-NEN]: Von wegen „kleine Gruppe“!) Diese Klausel erhebt den Verfassungsschutz zur unfehlbaren Messlatte. (Zuruf von der FDP: Ich kann mir vorstellen, dass Sie das stört!) Ich nenne drei Beispiele für das Handeln des Verfassungsschutzes. Erstes Beispiel. Erst letzte Woche hat das Verwaltungsgericht Köln bestätigt, dass der Rechtsanwalt und Menschenrechtler Rolf Gössner 40 Jahre zu Unrecht vom Verfassungsschutz beobachtet wurde. Zweites Beispiel. Der bayerische Verfassungsschutz hat die Antifaschistische Informations-, Dokumentations- und Archivstelle München, a.i.d.a., ebenfalls zu Unrecht als extremistisch diffamiert, wie ein Gericht klarstellte. Drittes Beispiel. Ich will daran erinnern, dass der Verfassungsschutz nicht gerade sehr hilfreich bei dem Verbotsverfahren gegen die NPD war. Auch hier haben wir gesehen, dass das Ganze überhaupt nichts gebracht hat. Mit der Extremismusklausel sollen missliebige linke Organisationen an den Pranger gestellt werden, etwa die Vereinigung der Verfolgten des Naziregimes, die Rassismus und Demokratiefeindlichkeit auch in der Mitte dieser Gesellschaft, in den etablierten Parteien und in den Medien immer wieder kritisiert. Doch das passt nicht in das schlichte und falsche Extremismusbild der Union und der FDP. Deswegen wollen Sie aus den Projekten gegen rechts extreme Vorfeldorganisationen des Verfassungsschutzes machen. Dabei werden sowohl die Organisationen als auch wir nicht mitmachen. (Beifall bei der LINKEN sowie bei Abgeordneten des BÜNDNISSES 90/DIE GRÜNEN) Ich möchte Sie zum Schluss auffordern: Ziehen Sie diese schädliche Extremismusklausel zurück. Sie dient nicht der Demokratie, und sie dient vor allen Dingen nicht dem Vertrauen. (Beifall bei der LINKEN sowie der Abg. Sönke Rix [SPD] und Sven-Christian Kindler [BÜNDNIS 90/DIE GRÜNEN]) Ich möchte Sie alle auffordern, am übernächsten Samstag in Dresden zur Demonstration zu kommen und zu verhindern, dass Nazis wieder durch Dresden marschieren. Blockieren Sie zusammen mit uns und den vielen Tausend antifaschistischen Organisationen und Menschen. Da können Sie wirklich etwas Sinnvolles tun. Danke. (Beifall bei der LINKEN sowie bei Abgeordneten des BÜNDNISSES 90/DIE GRÜNEN) Vizepräsidentin Petra Pau: Der Kollege Bernschneider hat für die FDP das Wort. (Beifall bei der FDP sowie bei Abgeordneten der CDU/CSU) Florian Bernschneider (FDP;;;;;;;;
2011;17/90;Reinhard Grindel;CDU/CSU;Flüchtlingspolitik;Einheitlichen EU-Flüchtlingsschutz garantieren;Die Grünen und die Linke tun etwas, das man nicht tun sollte, sofern man den europäischen Gedanken nicht beschädigen will. Sie wollen über den Umweg der europäischen Ebene versuchen, asylpolitische Vorstellungen zu verwirklichen, für die es weder im Deutschen Bundestag noch in unserer Bevölkerung eine Mehrheit gibt. Sie wollen über den Umweg Brüssel demokratische Mehrheitsentscheidungen ausspielen. Das ist nicht nur undemokratisch, sondern sie verstärken das Gefühl, das leider in unserer Bevölkerung verbreitet ist, dass die EU weit weg ist von der Stimmung der Menschen vor Ort. Insofern beschädigen sie mit ihren Anträgen den europäischen Gedanken. Ich will an dieser Stelle nicht verschweigen, dass sie sogar die berechtigte Hoffnung haben könnten, dass sie in der Sache in Brüssel auf ein offenes Ohr stoßen. Ich will diese Debatte ausdrücklich dafür nutzen, zu beklagen, dass Grünbücher und Richtlinienentwürfe der Generaldirektionen Innen und Justiz der EU-Kommission oftmals davon geprägt sind, dass sie von der Rechtslage in Deutschland und gerade auch von der Stimmungslage der Menschen in unserem Land erheblich abweichen. Die ursprüngliche Fassung des Richtlinienentwurfs zum Asylrecht hätte zur Folge gehabt, dass der Asylkompromiss von 1993, der zu einer erheblichen Reduzierung des Asylmissbrauchs geführt und die aufgeregte Stimmung der damaligen Zeit beträchtlich beruhigt hat, so nicht mehr haltbar sein würde. Unsere Fraktion ist dem Bundesinnenministerium deshalb sehr dankbar, dass es sich auf EU-Ebene erfolgreich dafür eingesetzt hat, dass diese Richtlinienentwürfe so nicht kommen werden. Ein schlichter Skandal ist der Antrag der Linken. Man muss ganz klar deutlich machen, was dieser Antrag zur Folge hätte. Sie lassen jede Art von Kontrolle von Zuwanderern in unser Land fallen. Sie wollen FRON-TEX abschaffen. Sie wollen, dass wir anderen EU-Ländern viele Asylbewerber abnehmen, damit diese EU-Länder keinen Grund mehr haben, für eine ordnungsgemäße Sicherung ihrer Grenzen zu sorgen. Ihr Antrag hätte zur Folge, dass im Grunde jeder Mensch aus aller Welt frei bestimmen könnte, in Deutschland zu leben. Wir hätten eine dramatische Zuwanderung von Hunderttausenden von Ausländern in jedem Jahr. Das würde jede Integrationsbemühung zum Scheitern verurteilen. Es würde wahrscheinlich auch Ausländerfeindlichkeit schüren. Sie würden damit die Kommunen vor erhebliche Unterbringungsprobleme stellen. Es würden wieder Sporthallen umgewandelt werden müssen zu großen Sammelunterkünften, von den vielen Milliarden, die das kosten würde, einmal ganz abgesehen. Das ist alles eine völlig unverantwortliche Politik, mit der sich die Linke endgültig aus dem Kreis derjenigen verabschiedet, die in der Integrations- und Asyldebatte den Anspruch erheben können, ernst genommen zu werden. Mit dem absurden Vorschlag, die EU-Rückführungsrichtlinie wieder abzuschaffen, sorgt die Linke dafür, dass wir weder Menschen, die jahrelang nur Sozialleistungen kassiert haben, noch verurteilte Straftäter in ihre Heimat zurückführen können. Das ist ein Beitrag, der den sozialen Frieden gefährdet und ein wichtiges präventives Element im Kampf gegen Ausländerkriminalität zunichte macht, weil für viele ausländische Kriminelle die Angst vor der Abschiebung in ihr Heimatland größer ist als die Angst vor einer Gefängnisstrafe. Aber auch die Grünen zeichnen in ihrem Antrag ein Zerrbild der Lage der subsidiär Schutzberechtigten im Verhältnis zu denjenigen, die als politisch Verfolgte oder Flüchtlinge nach der Genfer Flüchtlingskonvention anerkannt sind. Die Grünen verschweigen einen ganz wesentlichen Grundsatz, nämlich dass von unseren Behörden die subsidiär Schutzberechtigten nicht einheitlich behandelt werden, sondern es sich dabei um eine sehr heterogene Personengruppe handelt, die sich durch ganz unterschiedliche Schutzbedürfnisse auszeichnet. Es ist gängige Praxis der Ausländerbehörden, dass bei drohender Folter oder drohender Todesstrafe im Herkunftsland, ähnlich wie bei GFK-Flüchtlingen, ein längerfristiges Schutzbedürfnis anerkannt wird. Dementsprechend erhalten sie nicht nur ein mehrere Jahre geltendes Aufenthaltsrecht, sondern auch Zugang etwa zu Integrationsangeboten. Es gilt der Grundsatz, den die Grünen völlig verschweigen, dass bei denjenigen subsidiär Schutzberechtigten, bei denen absehbar ist, dass sie für lange Zeit und möglicherweise sogar auf Dauer in unserem Land leben werden, im Grunde genommen die gleichen Bedingungen herrschen wie bei GFK-Flüchtlingen. Andererseits macht es aber auch Sinn, solchen Schutzberechtigten, bei denen absehbar ist, dass sie nur über einen begrenzten Zeitraum Schutzes bedürfen und auch relativ plötzlich wieder in ihr Heimatland zurückgeführt werden können, in dieser Weise keine Integrationsangebote zu machen. Das gilt etwa bei Kriegs- oder Bürgerkriegsflüchtlingen, bei denen das Schutzbedürfnis typischerweise eher vorübergehender Natur ist. Dieser Heterogenität der Gruppe der subsidiär Schutzberechtigten können die Mitgliedstaaten nur Rechnung tragen, wenn ihnen Regelungsspielräume verbleiben und keine schematische Gleichstellung der subsidiär Geschützten mit GFK-Flüchtlingen erfolgt. Ich will aber auch darauf hinweisen, dass die Integrationsbeauftragte der Bundesregierung, die ja eine breite Kenntnis der Praxis in unseren Ausländerbehörden hat, in der Vergangenheit immer wieder darauf hingewiesen hat, dass es bei Fragen der Ausbildungsförderung oder Sozialleistungen sowie beim Arbeitsmarkt-zugang es keine großen praktischen Unterschiede in der Behandlung der Ausländerbehörden von GFK-Flüchtlingen und subsidiär Schutzberechtigten gibt. Gerade was die Frage des Arbeitsmarktzugangs anbelangt, macht das ja auch großen Sinn, dass die Schutzbedürftigen in unserem Land etwa Kompetenzen erwerben, die sie später in ihrem Heimatland nutzen können. Und es macht auch großen Sinn, dass sie, anstatt Sozialleistungen zu erhalten, ihren Lebensunterhalt selbst bestreiten. Das gilt in gleicher Weise für jüngere Schutzbedürftige, wenn man an die Förderung für einen Ausbildungsplatz denkt. Außerdem will ich hervorheben, dass es auch bei der medizinischen Versorgung selbstverständlich in der Praxis keine unterschiedliche Behandlung gibt. Insofern muss man den Grünen vorhalten, dass sie mit ihrem Antrag einen Popanz aufbauen und sich daran abarbeiten, obwohl die ausländerrechtliche Praxis völlig anders aussieht. Man kann die Anträge von Linken und Grünen also insoweit zusammenfassen: Der Antrag der Linken ist integrationsfeindlich, kommunal unfreundlich und würde unser Land in einen Zustand versetzen, wie wir ihn Anfang der 90er-Jahre hatten. Das kann niemand politisch ernsthaft wollen. Die Grünen zeichnen ein Zerrbild der praktischen Lebenssituation von subsidiär Schutzbedürftigen. Insofern sind beide Anträge abzulehnen. Rüdiger Veit (SPD;;;;;;;;
2011;17/96;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Für wirksamen Rechtsschutz im Asylverfahren - Konsequenzen aus der Entscheidung des Europäischen Gerichtshofs für Menschenrechte ziehen;;;;;;;;;
2011;17/96;Helmut Brandt;CDU/CSU;Flüchtlingspolitik;Für wirksamen Rechtsschutz im Asylverfahren - Konsequenzen aus der Entscheidung des Europäischen Gerichtshofs für Menschenrechte ziehen;;;;;;;;;
2011;17/150;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland;;;;;;;;;
2011;17/150;Peter Weiß;CDU/CSU;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland;;;;;;;;;
2011;17/150;Eckhardt Rehberg;CDU/CSU;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland;;;;;;;;;
2011;17/150;Maria Michalk;CDU/CSU;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland;;;;;;;;;
2011;17/150;Arnold Vaatz;CDU/CSU;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland;;;;;;;;;
2011;17/150;Dr. Martina Bunge;DIE LINKE;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland;;;;;;;;;
